Source_File,Extracted_Numbers...
case_1/case_1_all_data.json,7.608
case_1/case_1_all_data.json,9.524
case_1/case_1_all_data.json,9.628
case_1/case_1_all_data.json,9.833
case_1/case_1_all_data.json,9.349
case_1/case_1_all_data.json,8.771
case_1/case_1_all_data.json,9.788
case_1/case_1_all_data.json,9.824
case_1/case_1_all_data.json,9.844
case_1/case_1_all_data.json,9.276
case_1/case_1_all_data.json,9.839
case_1/case_1_all_data.json,9.735
case_1/case_1_all_data.json,9.826
case_1/case_1_all_data.json,9.852
case_1/case_1_all_data.json,9.926
case_1/case_1_all_data.json,9.782
case_1/case_1_all_data.json,9.801
case_1/case_1_all_data.json,8.918
case_1/case_1_all_data.json,9.834
case_1/case_1_all_data.json,9.77
case_1/case_1_all_data.json,9.728
case_1/case_1_all_data.json,9.825
case_1/case_1_all_data.json,9.418
case_1/case_1_all_data.json,9.685
case_1/case_1_all_data.json,9.566
case_1/case_1_all_data.json,9.669
case_1/case_1_all_data.json,9.398
case_1/case_1_all_data.json,9.807
case_1/case_1_all_data.json,9.792
case_1/case_1_all_data.json,9.771
case_1/case_1_all_data.json,9.876
case_1/case_1_all_data.json,9.553
case_1/case_1_all_data.json,9.306
case_1/case_1_all_data.json,9.885
case_1/case_1_all_data.json,8.229
case_1/case_1_all_data.json,9.777
case_1/case_1_all_data.json,9.418
case_1/case_1_all_data.json,9.843
case_1/case_1_all_data.json,8.471
case_1/case_1_all_data.json,9.799
case_1/case_1_all_data.json,9.622
case_1/case_1_all_data.json,9.841
case_1/case_1_all_data.json,9.666
case_1/case_1_all_data.json,9.71
case_1/case_1_all_data.json,9.81
case_1/case_1_all_data.json,9.775
case_1/case_1_all_data.json,9.748
case_1/case_1_all_data.json,9.693
case_1/case_1_all_data.json,9.682
case_1/case_1_all_data.json,9.819
case_2/case_2_all_data.json,7.82
case_2/case_2_all_data.json,7.81
case_2/case_2_all_data.json,9.81
case_2/case_2_all_data.json,9.753
case_2/case_2_all_data.json,9.893
case_2/case_2_all_data.json,9.88
case_2/case_2_all_data.json,9.821
case_2/case_2_all_data.json,9.825
case_2/case_2_all_data.json,9.848
case_2/case_2_all_data.json,9.6
case_2/case_2_all_data.json,9.878
case_2/case_2_all_data.json,9.893
case_2/case_2_all_data.json,9.742
case_2/case_2_all_data.json,9.83
case_2/case_2_all_data.json,9.889
case_2/case_2_all_data.json,9.889
case_2/case_2_all_data.json,9.734
case_2/case_2_all_data.json,9.392
case_2/case_2_all_data.json,9.408
case_2/case_2_all_data.json,9.757
case_2/case_2_all_data.json,9.78
case_2/case_2_all_data.json,9.811
case_2/case_2_all_data.json,9.78
case_2/case_2_all_data.json,9.847
case_2/case_2_all_data.json,9.913
case_2/case_2_all_data.json,8.827
case_2/case_2_all_data.json,7.905
case_2/case_2_all_data.json,9.824
case_2/case_2_all_data.json,8.773
case_2/case_2_all_data.json,9.903
case_2/case_2_all_data.json,9.929
case_2/case_2_all_data.json,9.938
case_2/case_2_all_data.json,9.842
case_2/case_2_all_data.json,9.81
case_2/case_2_all_data.json,8.091
case_2/case_2_all_data.json,9.715
case_2/case_2_all_data.json,9.718
case_2/case_2_all_data.json,9.0
case_2/case_2_all_data.json,9.887
case_2/case_2_all_data.json,9.785
case_2/case_2_all_data.json,9.766
case_2/case_2_all_data.json,9.902
case_2/case_2_all_data.json,9.718
case_2/case_2_all_data.json,9.777
case_2/case_2_all_data.json,9.918
case_2/case_2_all_data.json,9.925
case_2/case_2_all_data.json,9.926
case_2/case_2_all_data.json,9.842
case_2/case_2_all_data.json,9.937
case_2/case_2_all_data.json,9.843
case_3/case_3_all_data.json,6.514
case_3/case_3_all_data.json,7.365
case_3/case_3_all_data.json,7.385
case_3/case_3_all_data.json,7.7
case_3/case_3_all_data.json,7.297
case_3/case_3_all_data.json,7.912
case_3/case_3_all_data.json,7.516
case_3/case_3_all_data.json,6.991
case_3/case_3_all_data.json,7.418
case_3/case_3_all_data.json,7.315
case_3/case_3_all_data.json,6.709
case_3/case_3_all_data.json,7.278
case_3/case_3_all_data.json,7.262
case_3/case_3_all_data.json,8.767
case_3/case_3_all_data.json,6.761
case_3/case_3_all_data.json,8.445
case_3/case_3_all_data.json,7.67
case_3/case_3_all_data.json,8.076
case_3/case_3_all_data.json,6.85
case_3/case_3_all_data.json,7.957
case_3/case_3_all_data.json,7.094
case_3/case_3_all_data.json,7.88
case_3/case_3_all_data.json,7.16
case_3/case_3_all_data.json,7.544
case_3/case_3_all_data.json,7.26
case_3/case_3_all_data.json,7.698
case_3/case_3_all_data.json,7.27
case_3/case_3_all_data.json,7.705
case_3/case_3_all_data.json,7.585
case_3/case_3_all_data.json,7.353
case_3/case_3_all_data.json,7.086
case_3/case_3_all_data.json,8.108
case_3/case_3_all_data.json,8.472
case_3/case_3_all_data.json,8.03
case_3/case_3_all_data.json,7.193
case_3/case_3_all_data.json,7.287
case_3/case_3_all_data.json,8.069
case_3/case_3_all_data.json,7.444
case_3/case_3_all_data.json,7.99
case_3/case_3_all_data.json,8.121
case_3/case_3_all_data.json,7.51
case_3/case_3_all_data.json,8.689
