Source_File,Extracted_Numbers...
case_1/case_1_all_data.json,1
case_1/case_1_all_data.json,4
case_1/case_1_all_data.json,3
case_1/case_1_all_data.json,2
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,2
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,5
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,8
case_1/case_1_all_data.json,2
case_1/case_1_all_data.json,4
case_1/case_1_all_data.json,1
case_1/case_1_all_data.json,1
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,3
case_1/case_1_all_data.json,4
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,3
case_1/case_1_all_data.json,5
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,6
case_1/case_1_all_data.json,3
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,1
case_1/case_1_all_data.json,5
case_1/case_1_all_data.json,4
case_1/case_1_all_data.json,1
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,1
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,3
case_1/case_1_all_data.json,1
case_1/case_1_all_data.json,2
case_1/case_1_all_data.json,4
case_1/case_1_all_data.json,2
case_1/case_1_all_data.json,0
case_1/case_1_all_data.json,2
case_1/case_1_all_data.json,0
case_2/case_2_all_data.json,24
case_2/case_2_all_data.json,44
case_2/case_2_all_data.json,136
case_2/case_2_all_data.json,125
case_2/case_2_all_data.json,210
case_2/case_2_all_data.json,220
case_2/case_2_all_data.json,206
case_2/case_2_all_data.json,220
case_2/case_2_all_data.json,196
case_2/case_2_all_data.json,88
case_2/case_2_all_data.json,175
case_2/case_2_all_data.json,211
case_2/case_2_all_data.json,84
case_2/case_2_all_data.json,182
case_2/case_2_all_data.json,220
case_2/case_2_all_data.json,206
case_2/case_2_all_data.json,124
case_2/case_2_all_data.json,105
case_2/case_2_all_data.json,113
case_2/case_2_all_data.json,163
case_2/case_2_all_data.json,177
case_2/case_2_all_data.json,210
case_2/case_2_all_data.json,125
case_2/case_2_all_data.json,220
case_2/case_2_all_data.json,220
case_2/case_2_all_data.json,44
case_2/case_2_all_data.json,39
case_2/case_2_all_data.json,206
case_2/case_2_all_data.json,46
case_2/case_2_all_data.json,205
case_2/case_2_all_data.json,205
case_2/case_2_all_data.json,220
case_2/case_2_all_data.json,220
case_2/case_2_all_data.json,210
case_2/case_2_all_data.json,49
case_2/case_2_all_data.json,133
case_2/case_2_all_data.json,88
case_2/case_2_all_data.json,56
case_2/case_2_all_data.json,220
case_2/case_2_all_data.json,219
case_2/case_2_all_data.json,190
case_2/case_2_all_data.json,218
case_2/case_2_all_data.json,176
case_2/case_2_all_data.json,172
