Source_File,Extracted_Numbers...
case_1/case_1_all_data.json,2247
case_1/case_1_all_data.json,11317
case_1/case_1_all_data.json,6597
case_1/case_1_all_data.json,18175
case_1/case_1_all_data.json,8794
case_1/case_1_all_data.json,8352
case_1/case_1_all_data.json,21352
case_1/case_1_all_data.json,18699
case_1/case_1_all_data.json,21257
case_1/case_1_all_data.json,7162
case_1/case_1_all_data.json,21708
case_1/case_1_all_data.json,19015
case_1/case_1_all_data.json,20472
case_1/case_1_all_data.json,21202
case_1/case_1_all_data.json,15989
case_1/case_1_all_data.json,21046
case_1/case_1_all_data.json,15386
case_1/case_1_all_data.json,8848
case_1/case_1_all_data.json,13224
case_1/case_1_all_data.json,16278
case_1/case_1_all_data.json,13815
case_1/case_1_all_data.json,21535
case_1/case_1_all_data.json,13213
case_1/case_1_all_data.json,11026
case_1/case_1_all_data.json,14857
case_1/case_1_all_data.json,16848
case_1/case_1_all_data.json,13149
case_1/case_1_all_data.json,20525
case_1/case_1_all_data.json,15284
case_1/case_1_all_data.json,22320
case_1/case_1_all_data.json,15913
case_1/case_1_all_data.json,17218
case_1/case_1_all_data.json,9164
case_1/case_1_all_data.json,21287
case_1/case_1_all_data.json,2279
case_1/case_1_all_data.json,15168
case_1/case_1_all_data.json,6562
case_1/case_1_all_data.json,14839
case_1/case_1_all_data.json,3936
case_1/case_1_all_data.json,15696
case_1/case_1_all_data.json,20414
case_1/case_1_all_data.json,20889
case_1/case_1_all_data.json,16106
case_1/case_1_all_data.json,20534
case_1/case_1_all_data.json,20467
case_1/case_1_all_data.json,19534
case_1/case_1_all_data.json,15058
case_1/case_1_all_data.json,15304
case_1/case_1_all_data.json,20954
case_1/case_1_all_data.json,20638
case_2/case_2_all_data.json,1144
case_2/case_2_all_data.json,2979
case_2/case_2_all_data.json,5587
case_2/case_2_all_data.json,5742
case_2/case_2_all_data.json,8432
case_2/case_2_all_data.json,11965
case_2/case_2_all_data.json,13263
case_2/case_2_all_data.json,13224
case_2/case_2_all_data.json,8402
case_2/case_2_all_data.json,5565
case_2/case_2_all_data.json,6850
case_2/case_2_all_data.json,8293
case_2/case_2_all_data.json,5529
case_2/case_2_all_data.json,11001
case_2/case_2_all_data.json,11886
case_2/case_2_all_data.json,13256
case_2/case_2_all_data.json,5578
case_2/case_2_all_data.json,5215
case_2/case_2_all_data.json,5045
case_2/case_2_all_data.json,7151
case_2/case_2_all_data.json,6650
case_2/case_2_all_data.json,8067
case_2/case_2_all_data.json,5550
case_2/case_2_all_data.json,12986
case_2/case_2_all_data.json,12095
case_2/case_2_all_data.json,3009
case_2/case_2_all_data.json,3246
case_2/case_2_all_data.json,13268
case_2/case_2_all_data.json,3751
case_2/case_2_all_data.json,13391
case_2/case_2_all_data.json,13393
case_2/case_2_all_data.json,13164
case_2/case_2_all_data.json,12029
case_2/case_2_all_data.json,8330
case_2/case_2_all_data.json,3435
case_2/case_2_all_data.json,5587
case_2/case_2_all_data.json,5725
case_2/case_2_all_data.json,3471
case_2/case_2_all_data.json,12318
case_2/case_2_all_data.json,8582
case_2/case_2_all_data.json,8378
case_2/case_2_all_data.json,8199
case_2/case_2_all_data.json,6885
case_2/case_2_all_data.json,6950
case_2/case_2_all_data.json,12833
case_2/case_2_all_data.json,12101
case_2/case_2_all_data.json,12440
case_2/case_2_all_data.json,8459
case_2/case_2_all_data.json,13061
case_2/case_2_all_data.json,13325
case_3/case_3_all_data.json,926
case_3/case_3_all_data.json,1161
case_3/case_3_all_data.json,1370
case_3/case_3_all_data.json,1268
case_3/case_3_all_data.json,1192
case_3/case_3_all_data.json,1259
case_3/case_3_all_data.json,1336
case_3/case_3_all_data.json,1218
case_3/case_3_all_data.json,1296
case_3/case_3_all_data.json,1165
case_3/case_3_all_data.json,1303
case_3/case_3_all_data.json,1232
case_3/case_3_all_data.json,1308
case_3/case_3_all_data.json,1315
case_3/case_3_all_data.json,1280
case_3/case_3_all_data.json,1262
