Episode,Reward,LUT,DSP,Graph_Index,Target_DSP
0,-179.9451877673467,2875,83,1,154
1,-102.74330851275747,3050,114,1,154
2,-1063.0240641182509,4944,217,2,5
3,-427.7066461835906,4620,90,2,5
4,-3413.592519033675,7207,686,8,4
5,-2373.550718935816,6819,478,8,4
6,-2252.8151457017616,4822,532,1,82
7,-1312.725578796945,3490,344,1,82
8,-115.54341465543664,2988,85,1,130
9,-80.4161240568161,3173,99,1,130
10,-1854.0187125777888,6426,399,7,29
11,-2393.816788250358,6497,507,7,29
12,-382.6727099224913,2803,33,1,185
13,-120.02215320777893,3969,138,1,185
14,-1904.6824655095647,6828,438,5,58
15,-1534.4846745543248,6866,364,5,58
16,-2547.3177652259333,14665,510,0,2
17,-2572.7499085603117,15529,515,0,2
18,-67.21511754431043,3799,152,1,139
19,-11.097235719680786,3909,135,1,139
20,-2308.7202897456527,7056,548,7,87
21,-2153.484465522638,6654,517,7,87
22,-742.3866905029861,4054,172,1,24
23,-597.4478216733933,3768,143,1,24
24,-1993.8513585079309,6373,442,7,44
25,-2314.1192656408743,7422,506,7,44
26,-1919.1422088127135,6421,419,7,36
27,-1778.9095546831923,6171,391,7,36
28,-1999.2266243276597,6362,472,7,73
29,-1929.0131701364419,6550,458,7,73
30,-390.56541110354203,2492,67,1,222
31,-74.79549942111969,3177,193,1,222
32,-255.48570145562118,2857,43,1,144
33,-82.39553759739616,3193,112,1,144
34,-988.5500240966046,4710,244,3,47
35,-973.1982083595716,4250,241,3,47
36,-1589.0974996995567,5922,403,7,86
37,-1194.3078737749074,6537,324,7,86
38,-1458.2279246246912,4688,348,3,57
39,-1528.2487570532257,4561,362,3,57
40,-2154.5782712267546,7974,461,5,31
41,-2684.186025479125,7313,567,5,31
42,-142.85686575863278,3061,257,1,229
43,-258.3044814230354,3343,127,1,229
44,-1118.2525018201557,4715,261,3,38
45,-1128.7022997769295,4209,263,3,38
46,-2328.946857650589,6837,559,7,94
47,-1514.2752600140711,6017,396,7,94
48,-497.7435078239441,3320,169,1,70
49,-1107.6734369574883,3742,291,1,70
50,-432.4965863964475,4245,97,2,11
51,-672.6001143882539,2984,145,2,11
52,-822.7650822663741,3071,335,1,171
53,-4.045066704750061,3730,172,1,171
54,-2239.5746912386758,7302,479,5,32
55,-2504.5409092926893,7296,532,5,32
56,-1468.3289897959182,6709,294,2,1
57,-803.3852165602926,6146,161,2,1
58,-1.804472071647644,2914,41,1,42
59,-1377.823741137463,2825,317,1,42
60,-2428.270573607068,5713,499,3,14
61,-2618.086285785413,5696,537,3,14
62,-1282.8482572308292,3007,325,1,69
63,-125.07839516830444,2209,20,1,69
64,-8093.495263146414,6607,1637,6,19
65,-4447.7437348798685,5095,908,6,19
66,-1454.1780781186683,6667,340,7,50
67,-1349.4231471585167,6107,319,7,50
68,-77.50211519622803,2788,60,1,45
69,-557.7819670783451,2758,156,1,45
70,-19.530310232162474,3614,96,1,103
71,-562.6946844032169,2915,215,1,103
72,-3203.5182995319815,7060,655,8,15
73,-2143.588950752972,5421,443,8,15
74,-1239.2787460177021,6279,302,7,55
75,-1364.0232552852945,6509,327,7,55
76,-1329.3629237510852,5921,349,7,84
77,-1469.3277216284225,5919,377,7,84
78,-7128.166412882889,6237,1436,6,11
79,-7988.062290823279,6053,1608,6,11
80,-1147.7770251954535,3784,292,1,63
81,-148.06466683769227,2963,92,1,63
82,-2309.318657723749,6508,499,5,38
83,-2064.228438938097,6925,450,5,38
84,-182.6791007078274,3836,183,1,147
85,-602.9690067394587,3657,267,1,147
86,-1778.5689629092055,5326,378,3,23
87,-1693.6426062106411,4968,361,3,23
88,-597.9513473739624,2948,174,1,55
89,-87.53262732778278,3055,21,1,55
90,-947.5746337023785,3984,329,1,140
91,-678.1514837194892,3275,275,1,140
92,-1809.161405997387,6042,435,7,74
93,-1678.9912004067558,6294,409,7,74
94,-232.75888205008812,2499,212,1,166
95,-27.415228586370294,3024,156,1,166
96,-1082.7441865129558,4121,226,2,10
